2023-11-01 05:11:59 remove readline-common:all 8.2-1.3 <none>
2023-11-01 05:11:59 status half-configured readline-common:all 8.2-1.3
2023-11-01 05:11:59 status half-installed readline-common:all 8.2-1.3
2023-11-01 05:11:59 status config-files readline-common:all 8.2-1.3
2023-11-01 05:11:59 startup packages configure
2023-11-01 05:11:59 trigproc libc-bin:amd64 2.36-9+deb12u3 <none>
2023-11-01 05:11:59 status half-configured libc-bin:amd64 2.36-9+deb12u3
2023-11-01 05:11:59 status installed libc-bin:amd64 2.36-9+deb12u3
2023-11-01 05:11:59 startup packages purge
2023-11-01 05:11:59 purge libgssapi-krb5-2:amd64 1.20.1-2+deb12u1 <none>
2023-11-01 05:11:59 status config-files libgssapi-krb5-2:amd64 1.20.1-2+deb12u1
2023-11-01 05:11:59 status not-installed libgssapi-krb5-2:amd64 <none>
2023-11-01 05:11:59 purge readline-common:all 8.2-1.3 <none>
2023-11-01 05:11:59 status config-files readline-common:all 8.2-1.3
2023-11-01 05:11:59 status not-installed readline-common:all <none>
2023-11-01 05:11:59 startup packages configure
2023-11-01 05:12:06 startup archives unpack
2023-11-01 05:12:06 install gettext-base:amd64 <none> 0.21-12
2023-11-01 05:12:06 status half-installed gettext-base:amd64 0.21-12
2023-11-01 05:12:06 status unpacked gettext-base:amd64 0.21-12
2023-11-01 05:12:06 install libbrotli1:amd64 <none> 1.0.9-2+b6
2023-11-01 05:12:06 status triggers-pending libc-bin:amd64 2.36-9+deb12u3
2023-11-01 05:12:06 status half-installed libbrotli1:amd64 1.0.9-2+b6
2023-11-01 05:12:06 status unpacked libbrotli1:amd64 1.0.9-2+b6
2023-11-01 05:12:06 install libkrb5support0:amd64 <none> 1.20.1-2+deb12u1
2023-11-01 05:12:06 status half-installed libkrb5support0:amd64 1.20.1-2+deb12u1
2023-11-01 05:12:06 status unpacked libkrb5support0:amd64 1.20.1-2+deb12u1
2023-11-01 05:12:06 install libk5crypto3:amd64 <none> 1.20.1-2+deb12u1
2023-11-01 05:12:06 status half-installed libk5crypto3:amd64 1.20.1-2+deb12u1
2023-11-01 05:12:06 status unpacked libk5crypto3:amd64 1.20.1-2+deb12u1
2023-11-01 05:12:06 install libkeyutils1:amd64 <none> 1.6.3-2
2023-11-01 05:12:06 status half-installed libkeyutils1:amd64 1.6.3-2
2023-11-01 05:12:06 status unpacked libkeyutils1:amd64 1.6.3-2
2023-11-01 05:12:06 install libkrb5-3:amd64 <none> 1.20.1-2+deb12u1
2023-11-01 05:12:06 status half-installed libkrb5-3:amd64 1.20.1-2+deb12u1
2023-11-01 05:12:06 status unpacked libkrb5-3:amd64 1.20.1-2+deb12u1
2023-11-01 05:12:06 install libgssapi-krb5-2:amd64 <none> 1.20.1-2+deb12u1
2023-11-01 05:12:06 status half-installed libgssapi-krb5-2:amd64 1.20.1-2+deb12u1
2023-11-01 05:12:06 status unpacked libgssapi-krb5-2:amd64 1.20.1-2+deb12u1
2023-11-01 05:12:06 install libsasl2-modules-db:amd64 <none> 2.1.28+dfsg-10
2023-11-01 05:12:06 status half-installed libsasl2-modules-db:amd64 2.1.28+dfsg-10
2023-11-01 05:12:06 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg-10
2023-11-01 05:12:06 install libsasl2-2:amd64 <none> 2.1.28+dfsg-10
2023-11-01 05:12:06 status half-installed libsasl2-2:amd64 2.1.28+dfsg-10
2023-11-01 05:12:06 status unpacked libsasl2-2:amd64 2.1.28+dfsg-10
2023-11-01 05:12:06 install libldap-2.5-0:amd64 <none> 2.5.13+dfsg-5
2023-11-01 05:12:06 status half-installed libldap-2.5-0:amd64 2.5.13+dfsg-5
2023-11-01 05:12:06 status unpacked libldap-2.5-0:amd64 2.5.13+dfsg-5
2023-11-01 05:12:06 install libnghttp2-14:amd64 <none> 1.52.0-1
2023-11-01 05:12:06 status half-installed libnghttp2-14:amd64 1.52.0-1
2023-11-01 05:12:06 status unpacked libnghttp2-14:amd64 1.52.0-1
2023-11-01 05:12:06 install libpsl5:amd64 <none> 0.21.2-1
2023-11-01 05:12:06 status half-installed libpsl5:amd64 0.21.2-1
2023-11-01 05:12:06 status unpacked libpsl5:amd64 0.21.2-1
